id,title,description,attachment,timestamp
27,Bertrix - Virton,"On Mondays 15 and 22 June and Fridays 12 and 19 June Infrabel is working on the track.

The departure times of all P-trains running between Bertrix and Virton change.

The travel planner takes these c",,2026-05-22 11:30:08
28,Courtrai / Kortrijk - Deinze,"During the weekend of 13-14/06 Infrabel is working on the track.

An SNCB-NMBS bus replaces all trains between Courtrai / Kortrijk, Waregem and Deinze.
The route and departure times of the trains belo",,2026-05-22 10:44:01
29,Audenarde / Oudenaarde - Zottegem,"During the weekend of 13-14/06 Infrabel is working on the track.

An SNCB-NMBS bus replaces all IC trains Ostende / Oostende - Courtrai / Kortrijk - Brussels Airport-Zaventem between Audenarde / Ouden",,2026-05-22 08:55:58
30,Zottegem - Grammont / Geraardsbergen,"During the weekend of 13-14/06 Infrabel is working on the track.

An SNCB-NMBS bus replaces all S52 trains Gand-Saint-Pierre / Gent-Sint-Pieters - Zottegem - Grammont / Geraardsbergen between Zottegem",,2026-05-22 08:52:24
31,Anvers-Central / Antwerpen-Centraal - Breda (NL),"During the weekend of 13-14/06 Infrabel is working on the track.

On 13.06.26: 
- Only one in two S32 trains Puurs - Anvers-Central / Antwerpen-Centraal - Essen/Roosendaal (NL) rides between Anvers-Ce",,2026-05-21 15:32:27
32,Louvain / Leuven - Ans,"Every day, from 21/07 to 5/08 Infrabel is working on the track.

Train traffic is adapted between Louvain / Leuven, Liège-Guillemins / Luik-Guillemins and Welkenraedt.

The travel planner takes these ",,2026-05-21 14:45:33
33,Trois-Ponts - Gouvy,"During the weekend of 13-14/06 Infrabel is working on the track.

An SNCB-NMBS bus replaces most IC trains Liers - Gouvy - Luxembourg (LU) between Trois-Ponts and Gouvy.

The travel planner takes thes",,2026-05-21 09:48:22
34,Anvers-Central / Antwerpen-Centraal - Vilvorde / Vilvoorde,"During the weekend of 13-14/06 Infrabel is working on the track.

Train traffic is adapted between Anvers-Central / Antwerpen-Centraal, Vilvorde / Vilvoorde and Brux.-Midi/Brus.-Zuid.

The travel plan",,2026-05-20 10:54:52
35,Bertrix - Virton,"During the weekends, from 16/05 to 14/06 Infrabel is working on the track.

During the weekends, from 16/05 to 14/06:
An SNCB-NMBS bus replaces all L trains Libramont - Bertrix - Arlon / Aarlen betwee",,2026-05-18 11:28:31
36,Hasselt - Landen,"During the weekend of 13-14/06 Infrabel is working on the track.

The route and departure times of the IC trains Blankenberge - Brux.-/ Brus-Centr. - Genk change.
An SNCB-NMBS bus replaces the trains ",,2026-05-18 11:12:48
37,Saint-Nicolas / Sint-Niklaas - Puurs,"During the weekends, from 23/05 to 14/06 Infrabel is working on the track.

An SNCB-NMBS bus replaces the L trains Saint-Nicolas / Sint-Niklaas - Puurs - Malines / Mechelen between Saint-Nicolas / Sin",,2026-05-08 15:59:14
38,Hal / Halle,"On weekdays from 7/04 to 12/06 Infrabel is working on the track.

The departure times of most trains running between Hal / Halle and Brux.-Midi/Brus.-Zuid, Geraardsbergen, Tournai, Mons and La Louvièr",,2026-03-19 11:01:46
