model,target,MAE_min,RMSE_min,R2,cv_MAE_mean,cv_MAE_std
Linear Regression,car_est_min,1.251,2.004,0.817,1.811,1.482
Random Forest Regressor,car_est_min,0.91,1.95,0.8266,0.9,1.076
Random Forest Classifier,car_faster_than_train,,,,1.0,
