date,weekday,weekday_num,month,year,season,is_school_holiday,is_mon,is_tue_thu,is_fri,rain_total,rain_peak,wind_peak,wind_mean,temp_min,temp_mean,humidity_max,snow_total,weather_risk,car_est_min,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct,train_sched_min,car_faster_than_train
2021-02-15,Monday,0,2,2021,Winter,False,1,0,0,1.2,0.6,25.4,22.95,2.6,3.05,82.0,0.0,0,78.4,58.5,58.55833333333334,62.0,1.0,0.0,58.5,0
2021-02-16,Tuesday,1,2,2021,Winter,False,0,1,0,0.0,0.0,23.2,21.3,5.7,6.45,90.0,0.0,0,80.3,58.5,57.7,-33.5,1.0,0.0,58.5,0
2021-02-17,Wednesday,2,2,2021,Winter,False,0,0,0,0.0,0.0,21.7,21.375,6.5,7.225,93.0,0.0,0,71.4,58.5,57.15833333333333,-16.5,1.0,0.0,58.5,0
2021-02-18,Thursday,3,2,2021,Winter,False,0,1,0,0.0,0.0,25.2,22.975,7.7,8.025,77.0,0.0,0,79.1,58.5,61.25833333333333,186.5,0.8333333333333334,0.0,58.5,0
2021-02-19,Friday,4,2,2021,Winter,False,0,0,1,0.0,0.0,16.3,14.95,3.2,3.4,93.0,0.0,0,68.4,58.5,56.608333333333334,-23.0,1.0,0.0,58.5,0
2021-02-22,Monday,0,2,2021,Winter,False,1,0,0,0.0,0.0,21.2,19.175,10.2,10.7,62.0,0.0,0,76.2,58.5,58.125,-7.0,1.0,0.0,58.5,0
2021-02-23,Tuesday,1,2,2021,Winter,False,0,1,0,0.0,0.0,20.5,17.5,10.6,11.125,81.0,0.0,0,80.3,58.5,58.825,37.5,1.0,0.0,58.5,0
2021-02-24,Wednesday,2,2,2021,Winter,False,0,0,0,0.0,0.0,22.0,20.65,11.4,11.55,84.0,0.0,0,71.4,58.5,58.03333333333333,-64.0,1.0,0.0,58.5,0
2021-02-25,Thursday,3,2,2021,Winter,False,0,1,0,0.0,0.0,14.3,13.350000000000001,9.1,9.65,92.0,0.0,0,79.1,58.5,56.516666666666666,-35.5,1.0,0.0,58.5,0
2021-02-26,Friday,4,2,2021,Winter,False,0,0,1,0.0,0.0,9.4,6.025,6.3,6.975,91.0,0.0,0,68.4,58.5,58.33333333333333,41.0,1.0,0.0,58.5,0
