model,target,MAE_min,RMSE_min,R2,cv_MAE_mean,cv_MAE_std
Linear Regression,car_real_min,11.885,18.241,-0.556,11.264,4.429
Random Forest Regressor,car_real_min,10.251,15.225,-0.0839,9.178,1.805
Random Forest Classifier,car_faster_than_train,,,,0.8627,
