Maand;Link naar data
2016-02;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201602.csv
2016-03;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201603.csv
2016-09;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201609.csv
2016-10;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201610.csv
2017-03;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201703.csv
2017-06;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201706.csv
2017-07;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201707.csv
2017-12;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201712.csv
2018-07;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201807.csv
2018-12;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201812.csv
2019-01;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201901.csv
2019-04;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201904.csv
2019-06;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201906.csv
2019-09;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201909.csv
2019-10;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201910.csv
2019-12;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201912.csv
2020-02;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202002.csv
2020-03;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202003.csv
2020-07;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202007.csv
2020-08;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202008.csv
2020-10;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202010.csv
2020-12;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202012.csv
