date,n_trains,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct
2025-03-01,3,,,60.0,1.0,0.0
2025-03-02,5,64.0,63.31666666666667,15.0,1.0,0.0
2025-03-03,6,58.5,57.858333333333334,86.0,0.8333333333333334,0.0
2025-03-04,6,58.5,57.59166666666667,76.5,1.0,0.0
2025-03-05,9,49.0,48.2,-3.0,0.8888888888888888,0.0
2025-03-06,6,58.5,56.00833333333333,18.0,0.8333333333333334,0.0
2025-03-07,6,58.5,59.175,-1.0,1.0,0.0
2025-03-10,6,58.5,65.91666666666667,198.0,0.8333333333333334,0.0
2025-03-11,6,58.5,60.49166666666667,56.5,0.6666666666666666,0.0
2025-03-12,6,58.5,55.474999999999994,9.0,1.0,0.0
2025-03-13,6,58.5,57.858333333333334,11.5,1.0,0.0
2025-03-14,9,49.0,51.03333333333333,246.0,0.6666666666666666,0.0
2025-03-17,5,50.0,48.96666666666667,-36.0,1.0,0.0
2025-03-18,6,58.5,56.2,6.5,1.0,0.0
2025-03-19,6,58.5,58.75833333333333,25.5,1.0,0.0
2025-03-20,6,58.5,57.24166666666666,-43.0,1.0,0.0
2025-03-21,6,58.5,60.375,59.5,0.8333333333333334,0.0
2025-03-24,6,58.5,59.75833333333333,167.5,0.8333333333333334,0.0
2025-03-25,6,58.5,56.25,-38.0,1.0,0.0
2025-03-26,6,58.5,59.96666666666667,7.0,0.8333333333333334,0.0
2025-03-27,5,50.0,48.88333333333333,-14.0,1.0,0.0
2025-03-28,6,58.5,55.58333333333333,-17.5,1.0,0.0
2025-03-29,3,64.0,63.68333333333333,173.0,0.6666666666666666,0.0
2025-03-30,2,64.0,65.92500000000001,138.0,1.0,0.0
2025-03-31,6,58.5,57.233333333333334,-37.5,1.0,0.0
