date,n_trains,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct
2025-04-01,88,58.5,57.20833333333333,31.5,0.9886363636363636,0.0
2025-04-02,84,58.5,58.21666666666667,84.5,0.9880952380952381,0.0
2025-04-03,85,58.5,57.46666666666667,-37.0,1.0,0.0
2025-04-04,85,58.5,57.125,39.0,1.0,0.0
2025-04-05,51,39.0,41.2,3.0,0.9607843137254902,0.0
2025-04-06,49,39.0,37.666666666666664,-18.0,0.9795918367346939,0.0
2025-04-07,77,67.0,65.76666666666667,52.0,0.987012987012987,0.0
2025-04-08,55,50.0,53.333333333333336,-27.0,1.0,0.0
2025-04-09,79,58.5,55.94166666666666,71.0,0.9873417721518988,0.0
2025-04-10,79,58.5,56.625,33.0,1.0,0.0
2025-04-11,75,58.5,58.016666666666666,11.5,0.9866666666666667,0.0
2025-04-12,50,53.5,54.358333333333334,10.5,1.0,0.0
2025-04-13,50,53.5,52.31666666666666,-36.0,0.98,0.0
2025-04-14,78,58.5,56.224999999999994,-45.0,1.0,0.0
2025-04-15,60,51.0,49.666666666666664,101.0,0.9666666666666667,0.0
2025-04-16,78,58.5,57.93333333333333,16.5,1.0,0.0
2025-04-17,79,58.5,59.65,29.5,0.9873417721518988,0.0
2025-04-18,78,58.5,57.141666666666666,-17.0,1.0,0.0
2025-04-19,51,64.0,62.56666666666667,-67.0,1.0,0.0
2025-04-20,50,64.0,63.3,-23.0,1.0,0.0
2025-04-21,50,64.0,62.9,-47.0,1.0,0.0
2025-04-22,61,58.5,58.2,-2.5,1.0,0.0
2025-04-23,85,58.5,58.400000000000006,29.5,0.9882352941176471,0.0
2025-04-24,84,58.5,59.90833333333333,167.0,0.9642857142857143,0.0
2025-04-25,86,58.5,58.81666666666667,27.0,1.0,0.0
2025-04-26,52,64.0,63.1,0.0,0.9807692307692307,0.0
2025-04-27,50,64.0,63.9,8.0,1.0,0.0
2025-04-28,83,58.5,55.35,-15.5,1.0,0.0
2025-04-29,59,58.5,58.008333333333326,-20.0,0.9830508474576272,0.0
2025-04-30,85,58.5,74.75,702.0,0.9647058823529412,0.0
