date,n_trains,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct
2021-04-01,82,58.5,55.858333333333334,-84.5,1.0,0.0
2021-04-02,82,58.5,58.483333333333334,-84.5,1.0,0.0
2021-04-03,47,38.0,39.483333333333334,120.5,0.9574468085106383,0.0
2021-04-04,47,38.0,39.775,114.0,0.9787234042553191,0.0
2021-04-05,51,55.0,53.125,-50.5,1.0,0.0
2021-04-06,77,58.5,58.95,-14.5,1.0,0.0
2021-04-07,75,58.5,57.86666666666667,-100.0,1.0,0.0
2021-04-08,76,58.5,58.30833333333334,-5.0,1.0,0.0
2021-04-09,76,58.5,57.3,-74.5,1.0,0.0
2021-04-10,47,38.0,37.175,45.5,1.0,0.0
2021-04-11,46,38.0,37.475,47.5,1.0,0.0
2021-04-12,72,58.5,55.125,-103.0,1.0,0.0
2021-04-13,74,58.5,57.108333333333334,-53.5,1.0,0.0
2021-04-14,76,58.5,61.008333333333326,8.5,0.9736842105263158,0.0
2021-04-15,76,58.5,57.78333333333333,-8.0,0.9868421052631579,0.0
2021-04-16,76,58.5,57.90833333333333,-17.5,1.0,0.0
2021-04-17,51,,,,1.0,0.0
2021-04-18,50,,,,1.0,0.0
2021-04-19,82,58.5,57.825,-10.5,1.0,0.0
2021-04-20,81,58.5,58.599999999999994,-38.0,1.0,0.0
2021-04-21,82,58.5,58.258333333333326,-32.5,1.0,0.0
2021-04-22,82,58.5,61.46666666666667,-29.0,0.9878048780487805,0.0
2021-04-23,82,58.5,58.400000000000006,-22.5,1.0,0.0
2021-04-24,43,55.0,53.675,-82.0,1.0,0.0
2021-04-25,42,55.0,54.400000000000006,-35.0,1.0,0.0
2021-04-26,80,58.5,57.575,-29.5,1.0,0.0
2021-04-27,81,58.5,55.983333333333334,-57.5,1.0,0.0
2021-04-28,82,58.5,63.275000000000006,111.0,0.975609756097561,0.0
2021-04-29,82,58.5,57.60000000000001,18.0,1.0,0.0
2021-04-30,82,58.5,69.01666666666668,662.5,0.9512195121951219,0.0
