date,n_trains,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct
2022-10-01,49,,,,1.0,0.0
2022-10-02,48,,,,1.0,0.0
2022-10-03,78,58.0,60.5,158.5,0.9743589743589743,0.0
2022-10-04,82,58.0,63.30833333333334,258.5,0.9634146341463414,0.0
2022-10-05,27,48.0,47.333333333333336,-18.0,1.0,0.0
2022-10-06,82,58.0,65.44166666666666,343.5,0.9512195121951219,0.0
2022-10-07,81,58.0,62.275000000000006,167.0,0.9753086419753086,0.0
2022-10-08,50,57.0,57.35,59.0,1.0,0.0
2022-10-09,50,57.0,56.5,-4.0,1.0,0.0
2022-10-10,82,58.0,60.94166666666666,239.5,0.975609756097561,0.0
2022-10-11,82,49.0,49.45,258.0,0.9634146341463414,0.0
2022-10-12,82,58.0,59.599999999999994,220.5,0.9634146341463414,0.0
2022-10-13,82,58.0,61.65833333333333,315.0,0.9634146341463414,0.0
2022-10-14,82,58.0,58.31666666666666,171.0,0.975609756097561,0.0
2022-10-15,43,,,,1.0,0.0
2022-10-16,43,,,,1.0,0.0
2022-10-17,82,58.0,60.30833333333334,121.5,0.9878048780487805,0.0
2022-10-18,82,58.0,57.95833333333333,25.0,0.9878048780487805,0.0
2022-10-19,81,58.0,60.641666666666666,231.0,0.9753086419753086,0.0
2022-10-20,80,58.0,59.8,349.5,0.9625,0.0
2022-10-21,82,58.0,63.94166666666666,325.0,0.9512195121951219,0.0
2022-10-22,43,57.0,57.46666666666667,32.0,1.0,0.0
2022-10-23,43,57.0,59.75,162.0,1.0,0.0
2022-10-24,81,58.0,59.625,167.0,0.9753086419753086,0.0
2022-10-25,82,58.0,58.025000000000006,32.0,0.9878048780487805,0.0
2022-10-26,82,58.0,59.733333333333334,54.0,0.975609756097561,0.0
2022-10-27,82,58.0,61.008333333333326,248.0,0.975609756097561,0.0
2022-10-28,82,58.0,59.325,161.5,0.9878048780487805,0.0
2022-10-29,40,57.0,57.733333333333334,86.0,1.0,0.0
2022-10-30,40,57.0,56.7,0.0,1.0,0.0
2022-10-31,78,58.0,60.483333333333334,120.0,0.9871794871794872,0.0
