date,n_trains,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct
2022-08-01,6,58.0,66.94999999999999,162.0,0.6666666666666666,0.0
2022-08-02,6,58.0,56.74166666666666,32.0,1.0,0.0
2022-08-03,6,58.0,58.925,7.0,1.0,0.0
2022-08-04,6,58.0,58.7,137.5,1.0,0.0
2022-08-05,6,58.0,56.71666666666667,13.0,1.0,0.0
2022-08-06,3,55.0,55.2,11.0,1.0,0.0
2022-08-07,3,55.0,54.583333333333336,-27.0,1.0,0.0
2022-08-08,6,58.0,57.61666666666667,40.5,1.0,0.0
2022-08-09,6,58.0,57.63333333333333,16.0,1.0,0.0
2022-08-10,6,58.0,57.65,14.0,1.0,0.0
2022-08-11,6,58.0,56.825,29.5,1.0,0.0
2022-08-12,6,58.0,59.633333333333326,91.0,0.6666666666666666,0.0
2022-08-13,3,55.0,55.18333333333333,4.0,1.0,0.0
2022-08-14,3,55.0,54.55,3.0,1.0,0.0
2022-08-15,3,55.0,54.416666666666664,-39.0,1.0,0.0
2022-08-16,6,58.0,60.21666666666667,119.5,0.8333333333333334,0.0
2022-08-17,6,58.0,59.025,40.0,0.8333333333333334,0.0
2022-08-18,6,58.0,58.30833333333333,64.5,1.0,0.0
2022-08-19,6,58.0,58.3,40.0,1.0,0.0
2022-08-20,3,55.0,55.166666666666664,3.0,1.0,0.0
2022-08-21,3,55.0,54.8,-21.0,0.6666666666666666,0.0
2022-08-22,6,58.0,58.49166666666667,55.5,1.0,0.0
2022-08-23,6,58.0,60.75,127.5,0.6666666666666666,0.0
2022-08-24,6,58.0,58.0,6.0,1.0,0.0
2022-08-25,6,58.0,62.84166666666667,62.0,0.8333333333333334,0.0
2022-08-26,6,58.0,58.675,20.5,1.0,0.0
2022-08-27,3,55.0,56.71666666666667,108.0,0.6666666666666666,0.0
2022-08-28,3,55.0,57.0,127.0,1.0,0.0
2022-08-29,6,58.0,60.233333333333334,107.5,1.0,0.0
2022-08-30,6,58.0,58.05833333333334,118.0,0.6666666666666666,0.0
2022-08-31,6,58.0,57.333333333333336,29.5,1.0,0.0
