date,n_trains,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct
2021-01-01,49,54.0,54.225,3.0,1.0,0.0
2021-01-02,49,54.0,53.45833333333333,-33.0,1.0,0.0
2021-01-03,49,54.0,54.00833333333333,-17.0,1.0,0.0
2021-01-04,81,58.0,57.54166666666667,94.5,0.9876543209876543,0.0
2021-01-05,82,58.0,63.625,50.5,0.9878048780487805,0.0
2021-01-06,79,58.0,57.05,-35.5,1.0,0.0
2021-01-07,81,58.0,58.79166666666667,53.0,0.9876543209876543,0.0
2021-01-08,82,58.0,57.18333333333334,0.5,1.0,0.0
2021-01-09,48,37.0,38.68333333333334,167.5,0.9583333333333334,0.0
2021-01-10,49,37.0,39.108333333333334,98.0,0.9795918367346939,0.0
2021-01-11,82,58.0,57.56666666666667,6.0,1.0,0.0
2021-01-12,82,58.0,56.90833333333333,-42.0,1.0,0.0
2021-01-13,82,58.0,57.083333333333336,21.5,1.0,0.0
2021-01-14,82,58.0,57.725,-21.5,1.0,0.0
2021-01-15,82,58.0,57.79166666666667,-33.0,0.9878048780487805,0.0
2021-01-16,48,39.0,38.36666666666667,47.5,0.9791666666666666,0.0
2021-01-17,47,39.0,38.225,26.0,1.0,0.0
2021-01-18,80,49.0,47.65,9.0,0.9625,0.0
2021-01-19,79,49.0,47.916666666666664,45.0,0.9620253164556962,0.0
2021-01-20,82,58.0,57.55,-18.5,1.0,0.0
2021-01-21,82,58.0,67.28333333333333,89.5,0.975609756097561,0.0
2021-01-22,81,58.0,56.983333333333334,-53.5,1.0,0.0
2021-01-23,44,54.0,53.75,53.5,1.0,0.0
2021-01-24,43,54.0,53.849999999999994,-1.0,1.0,0.0
2021-01-25,80,58.0,56.425,-17.0,1.0,0.0
2021-01-26,81,58.0,57.49166666666667,0.5,1.0,0.0
2021-01-27,82,58.0,58.13333333333333,-8.5,1.0,0.0
2021-01-28,81,58.0,57.150000000000006,13.0,1.0,0.0
2021-01-29,82,58.0,56.525000000000006,-10.0,1.0,0.0
2021-01-30,54,54.0,53.78333333333333,92.0,1.0,0.0
2021-01-31,52,54.0,54.04166666666667,17.5,1.0,0.0
