datum;weekdag_naam;is_werkdag;maand;auto_reistijd_min;auto_reistijd_p85_min;vertraging_min;drukte_voertuigen;reistijd_index;tunnel_vc;tunnel_drukte;schoolvakantie;vakantie_naam;feestdag;feestdag_naam;pendeldag;seizoen;ring_bezetting;file_ring_min;reistijd_gm_min;vertrek_gent
2025-02-06;donderdag;True;2;6.7;6.8;0.4;4858;1.066;0.9383338312711839;4857.666666666667;False;;False;;True;winter;0.9383338312711839;40.1;100.1;07:19
2025-02-07;vrijdag;True;2;5.3;6.4;-1.0;4709;0.842;0.9096165535145827;4709.0;False;;False;;True;winter;0.9096165535145827;34.3;94.3;07:25
2025-02-08;zaterdag;False;2;6.4;6.4;0.0;2283;1.004;0.44093255174261076;2282.6666666666665;False;;False;;False;winter;0.44093255174261076;0.9;60.9;07:59
2025-02-09;zondag;False;2;6.0;6.2;-0.3;1159;0.952;0.22387886717421987;1159.0;False;;False;;False;winter;0.22387886717421987;0.0;60.0;08:00
2025-02-10;maandag;True;2;6.7;6.8;0.4;4817;1.062;0.9304140439078161;4816.666666666666;False;;False;;True;winter;0.9304140439078161;38.4;98.4;07:21
2025-02-11;dinsdag;True;2;6.6;6.7;0.3;4378;1.047;0.8456143694561489;4377.666666666666;False;;False;;True;winter;0.8456143694561489;23.8;83.8;07:36
2025-02-12;woensdag;True;2;5.8;6.6;-0.5;4931;0.915;0.9524993046040364;4931.0;False;;False;;True;winter;0.9524993046040364;43.2;103.2;07:16
2025-02-13;donderdag;True;2;6.8;6.8;0.5;4982;1.071;0.9622863589067345;4981.666666666667;False;;False;;True;winter;0.9622863589067345;45.5;105.5;07:14
2025-02-14;vrijdag;True;2;6.9;7.0;0.6;4924;1.097;0.9512115343010498;4924.333333333333;False;;False;;True;winter;0.9512115343010498;42.9;102.9;07:17
2025-02-15;zaterdag;False;2;6.4;6.4;0.0;2224;1.003;0.42953578456117936;2223.6666666666665;False;;False;;False;winter;0.42953578456117936;0.8;60.8;07:59
2025-02-16;zondag;False;2;6.3;6.3;0.0;1163;1.0;0.22458714084086248;1162.6666666666665;False;;False;;False;winter;0.22458714084086248;0.0;60.0;08:00
2025-02-17;maandag;True;2;6.8;6.9;0.5;4931;1.075;0.9525636931191857;4931.333333333333;False;;False;;True;winter;0.9525636931191857;43.2;103.2;07:16
2025-02-18;dinsdag;True;2;6.7;6.7;0.4;4892;1.057;0.9449658483315648;4892.0;False;;False;;True;winter;0.9449658483315648;41.5;101.5;07:18
2025-02-19;woensdag;True;2;6.8;6.9;0.5;4986;1.08;0.9630590210885265;4985.666666666667;False;;False;;True;winter;0.9630590210885265;45.7;105.7;07:14
2025-02-20;donderdag;True;2;6.7;6.7;0.3;4839;1.052;0.9347924629379707;4839.333333333333;False;;False;;True;winter;0.9347924629379707;39.3;99.3;07:20
2025-02-21;vrijdag;True;2;6.3;6.5;-0.1;2813;0.992;0.5434068736027692;2813.1666666666665;False;;False;;True;winter;0.5434068736027692;2.6;62.6;07:57
2025-02-22;zaterdag;False;2;6.4;6.4;0.0;2458;1.006;0.4748652992263076;2458.3333333333335;False;;False;;False;winter;0.4748652992263076;1.3;61.3;07:58
2025-02-23;zondag;False;2;6.3;6.3;0.0;1339;1.001;0.258648665354858;1339.0;False;;False;;False;winter;0.258648665354858;0.1;60.1;07:59
2025-02-24;maandag;True;2;6.7;6.8;0.4;4806;1.064;0.9283536114230377;4806.0;False;;False;;True;winter;0.9283536114230377;38.0;98.0;07:22
2025-02-25;dinsdag;True;2;6.7;6.7;0.4;4910;1.064;0.9484428281496285;4910.0;False;;False;;True;winter;0.9484428281496285;42.3;102.3;07:17
2025-02-26;woensdag;True;2;6.7;6.7;0.3;4567;1.053;0.8821226575458189;4566.666666666667;False;;False;;True;winter;0.8821226575458189;29.4;89.4;07:30
2025-02-27;donderdag;True;2;6.8;6.8;0.4;5064;1.068;0.9782547106637682;5064.333333333333;False;;False;;True;winter;0.9782547106637682;49.4;109.4;07:10
2025-02-28;vrijdag;True;2;6.9;6.9;0.6;5029;1.092;0.9714939165730887;5029.333333333333;False;;False;;True;winter;0.9714939165730887;47.7;107.7;07:12
2025-03-01;zaterdag;False;3;5.3;6.0;-1.0;2251;0.836;0.43481564280342444;2251.0;False;;False;;False;lente;0.43481564280342444;0.9;60.9;07:59
2025-03-02;zondag;False;3;6.3;6.3;0.0;1153;1.0;0.22271987390153192;1153.0;False;;False;;False;lente;0.22271987390153192;0.0;60.0;08:00
2025-03-03;maandag;True;3;6.9;7.0;0.6;4971;1.097;0.9601615379068067;4970.666666666667;True;Krokusvakantie;False;;False;lente;0.9601615379068067;45.0;105.0;07:15
2025-03-04;dinsdag;True;3;4.6;4.6;-1.7;4909;0.733;0.9481852740890312;4908.666666666666;True;Krokusvakantie;False;;False;lente;0.9481852740890312;42.2;102.2;07:17
2025-03-05;woensdag;True;3;6.9;7.0;0.6;4235;1.094;0.8180560849722357;4235.0;True;Krokusvakantie;False;;False;lente;0.8180560849722357;20.2;80.2;07:39
2025-03-06;donderdag;True;3;6.9;6.9;0.6;4937;1.09;0.9536582978767243;4937.0;True;Krokusvakantie;False;;False;lente;0.9536582978767243;43.5;103.5;07:16
2025-03-07;vrijdag;True;3;6.7;6.8;0.4;4479;1.065;0.8651884780615451;4479.0;True;Krokusvakantie;False;;False;lente;0.8651884780615451;26.7;86.7;07:33
2025-03-08;zaterdag;False;3;6.4;6.4;0.0;2408;1.005;0.4650782449236095;2407.666666666667;True;Krokusvakantie;False;;False;lente;0.4650782449236095;1.2;61.2;07:58
2025-03-09;zondag;False;3;6.3;6.3;0.0;1259;1.0;0.2431954217190188;1259.0;True;Krokusvakantie;False;;False;lente;0.2431954217190188;0.0;60.0;08:00
2025-03-10;maandag;True;3;5.7;6.4;-0.7;4943;0.894;0.9547529026342629;4942.666666666667;False;;False;;True;lente;0.9547529026342629;43.7;103.7;07:16
2025-03-11;dinsdag;True;3;6.7;6.7;0.4;4953;1.063;0.9568133351190414;4953.333333333333;False;;False;;True;lente;0.9568133351190414;44.2;104.2;07:15
2025-03-12;woensdag;True;3;4.6;5.3;-1.7;3419;0.728;0.6604973884018255;3419.3333333333335;False;;False;;True;lente;0.6604973884018255;6.9;66.9;07:53
2025-03-13;donderdag;True;3;6.7;6.7;0.4;5049;1.058;0.9752284504517498;5048.666666666666;False;;False;;True;lente;0.9752284504517498;48.6;108.6;07:11
2025-03-14;vrijdag;True;3;5.8;6.6;-0.5;4888;0.913;0.9441287976346235;4887.666666666666;False;;False;;True;lente;0.9441287976346235;41.4;101.4;07:18
2025-03-15;zaterdag;False;3;6.4;6.4;0.0;2487;1.006;0.48040271152915;2487.0;False;;False;;False;lente;0.48040271152915;1.4;61.4;07:58
