date,drukte_voertuigen,geschatte_reistijd_min,geschatte_reistijd_tunnelkalibratie_min
2025-06-07,2504.0,72.6,72.6
2025-06-08,1351.5,60.0,60.0
2025-06-09,1452.0,60.0,60.0
2025-06-10,6072.5,118.7,118.7
2025-06-11,6105.5,119.1,119.1
2025-06-12,6032.0,118.2,118.2
2025-06-13,5310.5,108.9,108.9
2025-06-14,2998.5,79.0,79.0
2025-06-15,1497.5,60.0,60.0
2025-06-16,5818.5,115.4,115.4
2025-06-17,5924.5,116.8,116.8
2025-06-18,6063.0,118.6,118.6
2025-06-19,5843.0,115.8,115.8
2025-06-20,6099.5,119.1,119.1
2025-06-21,3018.5,79.3,79.3
2025-06-22,1600.5,61.0,61.0
2025-06-23,5734.5,114.4,114.4
2025-06-24,5208.0,107.6,107.6
2025-06-25,6159.0,119.8,119.8
2025-06-26,901.5,60.0,60.0
2025-06-27,5793.0,115.1,115.1
2025-06-28,2993.0,79.0,79.0
2025-06-29,1459.5,60.0,60.0
2025-06-30,4045.0,92.5,92.5
2025-07-01,4764.0,101.8,101.8
2025-07-02,4757.5,101.7,101.7
2025-07-03,5078.5,105.9,105.9
2025-07-04,4097.0,93.2,93.2
2025-07-05,2520.5,72.9,72.9
2025-07-06,1199.5,60.0,60.0
2025-07-07,3967.5,91.5,91.5
2025-07-08,4828.0,102.7,102.7
2025-07-09,5007.5,105.0,105.0
2025-07-10,3329.5,83.3,83.3
2025-07-11,3270.0,82.5,82.5
2025-07-12,2441.0,71.8,71.8
2025-07-13,1477.5,60.0,60.0
2025-07-14,5446.5,110.6,110.6
2025-07-15,5853.5,115.9,115.9
2025-07-16,5848.0,115.8,115.8
2025-07-17,6036.0,118.3,118.3
2025-07-18,4608.0,99.8,99.8
2025-07-19,2913.5,77.9,77.9
2025-07-20,1579.5,60.7,60.7
2025-07-21,1875.0,64.5,64.5
2025-07-22,5397.5,110.0,110.0
2025-07-23,5184.5,107.3,107.3
2025-07-24,5334.5,109.2,109.2
2025-07-25,4225.0,94.9,94.9
2025-07-26,2665.0,74.7,74.7
2025-07-27,1516.0,60.0,60.0
2025-07-28,5250.0,108.1,108.1
2025-07-29,5515.5,111.5,111.5
2025-07-30,5285.0,108.6,108.6
2025-07-31,5583.5,112.4,112.4
2025-08-01,4655.0,100.4,100.4
2025-08-02,2544.0,73.2,73.2
2025-08-03,1631.5,61.4,61.4
2025-08-04,5284.0,108.5,108.5
2025-08-05,5530.0,111.7,111.7
2025-08-06,6033.0,118.2,118.2
2025-08-07,6210.5,120.0,120.0
2025-08-08,5091.5,106.1,106.1
2025-08-09,2676.5,74.9,74.9
2025-08-10,1637.0,61.5,61.5
2025-08-11,6055.5,118.5,118.5
2025-08-12,5622.5,112.9,112.9
2025-08-13,6035.0,118.2,118.2
2025-08-14,5318.5,109.0,109.0
2025-08-15,2749.5,75.8,75.8
2025-08-16,2275.0,69.7,69.7
2025-08-17,1586.0,60.8,60.8
2025-08-18,5634.0,113.1,113.1
2025-08-19,5630.5,113.0,113.0
2025-08-20,5785.0,115.0,115.0
2025-08-21,5210.0,107.6,107.6
2025-08-22,5164.0,107.0,107.0
2025-08-23,2505.0,72.7,72.7
2025-08-24,1582.5,60.7,60.7
2025-08-25,5878.0,116.2,116.2
2025-08-26,5379.5,109.8,109.8
2025-08-27,5738.0,114.4,114.4
2025-08-28,5944.0,117.1,117.1
2025-08-29,5518.0,111.6,111.6
2025-08-30,2736.0,75.6,75.6
2025-08-31,1406.5,60.0,60.0
2025-09-01,5858.0,116.0,116.0
2025-09-02,6077.0,118.8,118.8
2025-09-03,5257.0,108.2,108.2
2025-09-04,4833.5,102.7,102.7
2025-09-05,5955.5,117.2,117.2
2025-09-06,2768.5,76.1,76.1
2025-09-07,1624.0,61.3,61.3
2025-09-08,5957.0,117.2,117.2
2025-09-09,4436.5,97.6,97.6
2025-09-10,5646.5,113.2,113.2
2025-09-11,5686.0,113.7,113.7
2025-09-12,5754.5,114.6,114.6
2025-09-13,2712.5,75.3,75.3
2025-09-14,1802.5,63.6,63.6
2025-09-15,4137.5,93.7,93.7
2025-09-16,5697.0,113.9,113.9
2025-09-17,5776.5,114.9,114.9
2025-09-18,5161.5,107.0,107.0
2025-09-19,5326.5,109.1,109.1
2025-09-20,2992.5,79.0,79.0
2025-09-21,1606.0,61.0,61.0
2025-09-22,5804.0,115.3,115.3
2025-09-23,5902.5,116.5,116.5
2025-09-24,5893.5,116.4,116.4
2025-09-25,5801.5,115.2,115.2
2025-09-26,5998.5,117.8,117.8
2025-09-27,2783.5,76.3,76.3
2025-09-28,1865.0,64.4,64.4
2025-09-29,5805.0,115.3,115.3
2025-09-30,4933.5,104.0,104.0
2025-10-01,4947.0,104.2,104.2
2025-10-02,5995.0,117.7,117.7
2025-10-03,5957.5,117.2,117.2
